Pais;Codigo;Periodo;Muertes Totales;Combustibles Solidos;Particulas;Ozono
Afghanistan;AFG;1990;2,994,773,088,832,800;25,036,290,974,237,400;4,644,658,943,828,460;5,616,442,030,749,170
Afghanistan;AFG;1991;2,912,779,667,340,460;24,257,512,497,333,300;46,033,840,567,028,400;56,039,601,160,366,700
Afghanistan;AFG;1992;27,896,305,561,506,600;23,204,387,789,481,000;4,424,376,603,219,230;5,611,822,064,825,630
Afghanistan;AFG;1993;27,879,081,474,634,000;2,316,481,335,037,930;4,444,014,814,437,850;5,655,266,062,756,280
Afghanistan;AFG;1994;28,716,292,317,725,500;23,883,717,682,210,600;45,594,328,410,021,300;5,718,922,220,615,050
Afghanistan;AFG;1995;28,801,422,374,242,900;23,990,659,871,687,800;45,367,141,130,097,300;5,739,173,782,337,070
Afghanistan;AFG;1996;2,866,425,885,327,990;23,851,205,048,775,000;45,383,591,078,733,900;5,747,049,995,214,070
Afghanistan;AFG;1997;2,864,474,545,749,140;23,811,351,990,418,400;45,585,062,178,377,800;57,555,086,614,962
Afghanistan;AFG;1998;28,626,520,191,157,100;23,868,015,023,658,400;4,483,748,988,696,930;5,758,544,580,353,420
Afghanistan;AFG;1999;28,663,601,834,773,300;23,853,929,410,311,200;4,532,550,113,934,950;5,793,572,911,264,200
Afghanistan;AFG;2000;2,837,862,707,748,100;2,359,487,736,595,320;4,503,400,426,282,650;58,448,654,922,255,100
Afghanistan;AFG;2001;2,818,835,208,639,390;23,371,704,072,614,600;4,531,938,333,306,390;5,921,335,305,865,870
Afghanistan;AFG;2002;2,733,370,933,371,880;2,250,864,304,269,880;453,735,107,424,751;5,931,653,630,744,280
Afghanistan;AFG;2003;27,130,290,712,037,100;221,869,356,293,934;4,653,360,141,671,270;5,924,058,422,040,330
Afghanistan;AFG;2004;2,691,035,305,772,170;21,996,916,000,263,800;4,623,059,193,617,580;5,922,088,524,244,830
Afghanistan;AFG;2005;2,605,358,497,732,060;2,114,755,231,683,810;46,139,370,786,442,000;59,031,081,967,960,000
Afghanistan;AFG;2006;25,517,561,742,039,600;2,059,212,386,200,700;46,319,416,332,236,300;5,911,068,319,146,210
Afghanistan;AFG;2007;2,465,212,697,782,000;19,654,059,015,418,400;470,120,860,549,583;59,092,909,610,654,500
Afghanistan;AFG;2008;2,375,095,918,951,290;1,877,941,929,864,070;46,736,896,338,443;5,893,699,181,656,030
Afghanistan;AFG;2009;22,875,719,068,010,800;17,893,041,990,732,200;468,333,716,598,734;5,866,966,390,935,120
Afghanistan;AFG;2010;22,152,557,181,811,800;171,788,162,787,839;4,673,326,874,707,570;58,371,386,904,440,300
Afghanistan;AFG;2011;2,143,326,939,538,820;16,302,630,568,153,500;48,290,188,309,811,100;5,801,864,742,743,400
Afghanistan;AFG;2012;20,738,870,222,109,600;15,620,186,681,894,200;4,814,822,551,195,020;5,783,817,255,787,050
Afghanistan;AFG;2013;200,905,640,138,546;15,145,222,419,399,400;4,637,609,038,900,840;5,774,365,235,421,890
Afghanistan;AFG;2014;19,543,695,820,699,500;1,471,349,129,005,790;4,519,389,822,935,470;5,768,401,178,654,360
Afghanistan;AFG;2015;1,918,011,189,732,790;1,413,542,376,454,550;47,334,536,914,397,900;5,746,081,720,030,600
Afghanistan;AFG;2016;1,866,689,494,361,700;138,663,543,279,917;4,482,619,552,773,990;577,946,638,468,968
Afghanistan;AFG;2017;1,839,413,870,541,860;13,499,375,306,870,400;4,573,766,239,317,670;58,106,248,922,515,000
Albania;ALB;1990;8,282,894,666,410,770;5,654,026,788,246,460;23,483,019,267,262,200;41,741,499,269,594,900
Albania;ALB;1991;8,518,566,537,596,210;5,809,981,076,499,450;24,263,080,355,796,900;4,190,511,674,093,450
Albania;ALB;1992;8,229,695,911,825,340;56,342,855,608,571,200;23,274,970,143,101,000;39,752,737,141,106,800
Albania;ALB;1993;7,838,163,032,043,930;5,366,371,000,089,110;2,221,174,507,023,490;37,114,991,498,649,800
Albania;ALB;1994;7,323,275,142,160,640;4,980,347,178,012,690;2,110,969,629,540,070;34,225,564,492,506,000
Albania;ALB;1995;720,013,644,258,036;48,633,886,167,198,600;2,110,202,565,346,170;33,303,740,731,507,900
Albania;ALB;1996;7,299,011,538,933,430;48,708,858,138,786,700;2,197,476,416,156,240;33,782,299,150,875,400
Albania;ALB;1997;7,182,323,514,901,790;4,714,852,310,094,780;22,398,412,858,910,900;3,318,026,342,832,870
Albania;ALB;1998;6,842,003,027,568,980;4,404,100,851,243,430;22,191,336,836,576,900;31,723,311,279,665,400
Albania;ALB;1999;6,656,719,156,242,450;41,986,945,407,847,600;22,479,265,130,158,800;30,294,090,146,353,500
Albania;ALB;2000;6,521,774,697,596,840;40,591,884,554,484,800;22,615,244,900,671,300;28,877,645,835,623,900
Albania;ALB;2001;61,847,847,653,851,000;37,640,616,808,761,600;2,232,258,625,393,360;2,691,947,489,493,180
Albania;ALB;2002;6,081,615,674,760,530;361,975,832,717,686;22,809,234,202,244,600;2,570,634,880,655,180
Albania;ALB;2003;6,030,528,396,310,800;3,527,001,758,466,210;2,327,845,876,121,520;248,383,835,823,191
Albania;ALB;2004;5,893,952,873,927,110;3,365,484,507,779,230;23,587,441,640,478,000;23,859,736,824,886,700
Albania;ALB;2005;56,540,008,408,326,700;31,703,949,182,338,800;23,240,327,458,219,600;22,326,894,324,968,200
Albania;ALB;2006;53,733,090,169,387,200;29,285,746,092,622,700;22,948,563,660,202,200;2,086,125,857,974,570
Albania;ALB;2007;4,971,344,604,056,720;26,203,563,768,602,100;2,212,168,543,500,920;19,210,806,934,517,500
Albania;ALB;2008;4,840,928,803,115,030;2,472,081,851,263,880;22,350,487,630,111,900;18,413,464,246,839,500
Albania;ALB;2009;4,658,618,306,562,800;23,255,730,362,391,400;2,204,170,804,935,260;17,664,818,754,601,500
Albania;ALB;2010;45,393,399,516,950,000;2,213,797,543,691,940;21,979,911,064,790,800;17,408,666,895,509,800
Albania;ALB;2011;4,547,340,685,542,630;2,100,258,164,127,560;2,319,044,536,458,600;17,527,626,037,875,500
Albania;ALB;2012;4,389,107,261,791,120;20,789,558,253,869,900;2,179,921,580,042,910;17,622,535,064,505,200
Albania;ALB;2013;4,324,117,275,694,130;20,344,456,273,998,900;21,574,317,020,348,100;1,779,721,030,220,450
Albania;ALB;2014;42,522,621,715,025,200;20,001,950,905,835,000;21,170,528,313,536,900;18,044,724,995,814,800
Albania;ALB;2015;42,299,772,755,674,300;19,163,115,680,372,100;21,786,088,611,296,200;18,061,649,785,696,300
Albania;ALB;2016;41,018,787,963,433,500;18,846,584,518,538,000;2,081,066,376,804,030;18,055,482,075,424,600
Albania;ALB;2017;4,048,112,424,828,890;1,828,075,416,622,440;20,837,392,786,000,800;18,038,835,186,186,900
Algeria;DZA;1990;6,675,923,111,219,880;3,933,080,147,373,780;6,103,561,734,703,510;24,210,842,745,610,200
Algeria;DZA;1991;6,558,836,955,746,580;3,294,099,369,821,030;6,053,838,453,003,670;238,154,423,805,787
Algeria;DZA;1992;6,441,621,307,164,330;28,131,451,557,608,600;598,663,666,716,011;235,773,095,728,493
Algeria;DZA;1993;6,332,273,155,211,490;27,361,462,271,261,200;58,862,873,935,237,900;2,339,816,439,192,030
Algeria;DZA;1994;6,165,230,984,608,970;26,816,076,489,853,900;5,726,490,314,937,110;2,312,088,618,454,500
Algeria;DZA;1995;6,041,641,032,360,750;26,497,855,194,163,100;5,605,836,943,748,540;23,080,223,637,287,800
Algeria;DZA;1996;6,001,309,875,496,950;24,962,803,602,836,600;558,224,981,676,773;2,297,614,389,522,200
Algeria;DZA;1997;59,341,128,487,207,600;23,464,726,409,613,000;5,531,539,505,233,650;22,823,308,238,239,500
Algeria;DZA;1998;5,824,892,570,217,090;22,186,588,813,195,300;54,369,431,772,580,600;2,259,222,508,670,920
Algeria;DZA;1999;57,803,369,630,507,400;2,167,959,894,088,460;53,964,475,446,835,500;22,708,789,925,186,800
Algeria;DZA;2000;5,661,172,081,651,140;19,762,224,673,636,700;5,295,306,824,013,790;2,278,042,263,430,700
Algeria;DZA;2001;56,066,858,195,937,400;17,303,501,302,250,800;52,651,961,997,412,200;22,858,383,730,236,500
Algeria;DZA;2002;5,516,529,551,874,710;15,093,303,201,156,300;5,197,132,600,984,850;2,285,178,587,946,190
Algeria;DZA;2003;5,459,846,519,870,650;13,582,372,192,436,800;5,154,298,579,804,430;22,973,424,373,078,500
Algeria;DZA;2004;5,324,499,903,767,860;1,214,331,617,647,730;5,033,537,926,065,950;22,863,083,838,802,500
Algeria;DZA;2005;5,167,626,122,835,160;11,077,860,005,247,700;4,887,436,534,054,510;22,727,828,903,697,100
Algeria;DZA;2006;5,100,641,449,802,970;9,423,635,774,393,850;483,919,145,045,733;2,249,825,404,636,010
Algeria;DZA;2007;50,077,379,579,330,400;8,113,033,136,239,320;47,617,574,426,360,300;22,193,652,546,939,400
Algeria;DZA;2008;4,891,449,341,516,390;700,986,318,168,812;4,658,835,001,721,590;2,185,391,649,780,850
Algeria;DZA;2009;4,770,929,773,746,230;6,212,113,368,111,600;4,548,016,828,625,850;21,563,200,967,437,400
Algeria;DZA;2010;46,567,033,361,409,900;5,568,181,691,025,140;44,409,046,162,757,600;2,137,701,792,310,180
Algeria;DZA;2011;46,220,693,032,785,800;4,738,821,375,085,050;4,415,339,101,652,490;21,297,040,712,252,700
Algeria;DZA;2012;4,525,917,541,810,220;410,303,214,125,459;4,326,431,052,518,670;21,137,388,127,908,600
